Comment,Designator,Footprint,JLCPCB Part #,LCSC Part #
"Non-Polarized Capacitor 47uF CP_Radial_D6.3mm_P2.50mm","C2, C9","","",""
"Non-Polarized Capacitor 100nF SMD_0603_1608Metric","C5, C8","","",""
"Non-Polarized Capacitor 10nF SMD_0603_1608Metric","C7","","",""
"SS34","D1, D14, D15, D16, D17, D8, D9","SMB_L4.3-W3.6-LS5.4-RD","","C2758511"
"SMBJ24A","D2","","",""
"Non-Polarized Capacitor .33uF SMD_0603_1608Metric","Down","","",""
"05200101Z","F1","","",""
"691137710002","J1","","",""
"1730395","J10, J11, J12, J13, J18, J19, J2, J20, J3, J4, J9","","",""
"0022232031","J15","","",""
"Inductor 22uH SMD_SRN6045TA","L1","","",""
"AO3400A","Q1, Q6, Q7, Q8, Q9","SOT-23-3_L2.9-W1.3-P1.90-LS2.4-BR","","C347475"
"Resistor 100Ω SMD_0603_1608Metric","R1, R2, R36, R38, R40","","",""
"Resistor 10kΩ SMD_0603_1608Metric","R11, R12, R18, R27, R28, R29, R30, R31, R32, R33, R34","","",""
"Resistor 100kΩ SMD_0603_1608Metric","R17, R25, R26, R35, R37, R39, R41, R6","","",""
"Resistor 1kΩ SMD_0603_1608Metric","R23, R24","","",""
"X5521WV-2x13-C40D40-1196","U1","HDR-TH_26P-P2.54-V-M-R2-C13-S2.54-2","","C2883554"
"TPS54302DDCR","U2","","",""
"OPA340UA","U3","","",""
"LM7805CT/NOPB","U5","","",""
"Non-Polarized Capacitor 0.1uF SMD_0603_1608Metric","Up","","",""
