Designator,Manufacturer Part Number or Seeed SKU,QTY,Link
"C2,C9","","2",""
"C5,C8","","2",""
"C7","","1",""
"D1,D14,D15,D16,D17,D8,D9","SS34","7",""
"D2","SMBJ24A","1",""
"Down","","1",""
"F1","05200101Z","1",""
"J1","691137710002","1",""
"J10,J11,J12,J13,J18,J19,J2,J20,J3,J4,J9","1730395","11",""
"J15","0022232031","1",""
"L1","","1",""
"Q1,Q6,Q7,Q8,Q9","AO3400A","5",""
"R1,R2,R36,R38,R40","","5",""
"R11,R12,R18,R27,R28,R29,R30,R31,R32,R33,R34","","11",""
"R17,R25,R26,R35,R37,R39,R41,R6","","8",""
"R23,R24","","2",""
"U1","X5521WV-2x13-C40D40-1196","1",""
"U2","TPS54302DDCR","1",""
"U3","OPA340UA","1",""
"U5","LM7805CT/NOPB","1",""
"Up","","1",""
